graph, edges, result, time
G54_90, 1287, UNSAT, 0.25712681s
G54_100, 1431, UNSAT, 0.16988993s
G55_10, 148, UNSAT, 0.01183224s
G55_20, 297, UNSAT, 0.02225685s
G55_30, 445, UNSAT, 0.03210092s
G55_40, 594, UNSAT, 0.05346894s
G55_50, 742, UNSAT, 0.06953597s
G55_60, 891, UNSAT, 0.06311703s
G55_70, 1039, UNSAT, 0.09260201s
G55_80, 1188, UNSAT, 0.12551808s
G55_90, 1336, UNSAT, 0.14267397s
G55_100, 1485, UNSAT, 0.17835093s
G56_10, 154, UNSAT, 0.01167607s
G56_20, 308, UNSAT, 0.01882792s
G56_30, 462, UNSAT, 0.04643989s
G56_40, 616, UNSAT, 0.05250597s
G56_50, 770, UNSAT, 0.07415199s
G56_60, 924, UNSAT, 0.07207704s
G56_70, 1078, UNSAT, 0.09114313s
G56_80, 1232, UNSAT, 0.14912605s
G56_90, 1386, UNSAT, 0.17281199s
G56_100, 1540, UNSAT, 0.19064212s
G57_10, 159, UNSAT, 0.01565695s
G57_20, 319, UNSAT, 0.01882887s
G57_30, 478, UNSAT, 0.04904008s
G57_40, 638, UNSAT, 0.06149006s
G57_50, 798, UNSAT, 0.07546687s
G57_60, 957, UNSAT, 0.08340001s
G57_70, 1117, UNSAT, 0.11133313s
G57_80, 1276, UNSAT, 0.14247704s
G57_90, 1436, UNSAT, 0.17118788s
G57_100, 1596, UNSAT, 0.20715094s
G58_10, 165, UNSAT, 0.01153898s
G58_20, 330, UNSAT, 0.02605295s
G58_30, 495, UNSAT, 0.04296398s
G58_40, 661, UNSAT, 0.05894399s
G58_50, 826, UNSAT, 0.06317496s
G58_60, 991, UNSAT, 0.08581209s
G58_70, 1157, UNSAT, 0.12646890s
G58_80, 1322, UNSAT, 0.14761901s
G58_90, 1487, UNSAT, 0.19078398s
G58_100, 1653, UNSAT, 0.21148992s
G59_10, 171, UNSAT, 0.01758814s
G59_20, 342, UNSAT, 0.02265000s
G59_30, 513, UNSAT, 0.03374004s
G59_40, 684, UNSAT, 0.06216192s
G59_50, 855, UNSAT, 0.06720996s
G59_60, 1026, UNSAT, 0.08742499s
G59_70, 1197, UNSAT, 0.13491106s
G59_80, 1368, UNSAT, 0.15330887s
G59_90, 1539, UNSAT, 0.19626594s
G59_100, 1711, UNSAT, 0.24238181s
G60_10, 177, UNSAT, 0.01182914s
G60_20, 354, UNSAT, 0.03153801s
G60_30, 531, UNSAT, 0.07098293s
G60_40, 708, UNSAT, 0.07182407s
G60_50, 885, UNSAT, 0.07322001s
G60_60, 1062, UNSAT, 0.10468292s
G60_70, 1239, UNSAT, 0.14239812s
