command,mean,stddev,median,user,system,min,max
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.8.graphml.cnf,0.7182261107200001,0.029875142059014457,0.71500362482,0.5911596399999999,0.11778972000000001,0.67087770382,0.77888527582
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.8.graphml.cnf,0.6459781112199999,0.04527263163907327,0.63519709932,0.53762994,0.10203102,0.60214579682,0.73272358282
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.100.9.graphml.cnf,0.74725953906,0.0218571416865106,0.7453225862600001,0.6242096999999999,0.11460143999999998,0.7150711702600001,0.78506465126
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.100.9.graphml.cnf,0.59333604786,0.009998957964631938,0.5921792382600001,0.49306339999999993,0.09621373999999999,0.57582737126,0.61558232426
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.1.graphml.cnf,0.015319394066315786,0.004047004118731446,0.014729771540000002,0.012915307105263162,0.0012479981578947372,0.013464566040000002,0.06280856804000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.1.graphml.cnf,0.004229182664633431,0.0025739460211705277,0.00396286404,0.0020533443988269787,0.0012067852199413496,0.0026044590399999998,0.04629908804
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.10.graphml.cnf,0.024487425031923086,0.004600888774781157,0.02387498758,0.021350579230769235,0.001655042307692308,0.022696437080000003,0.06974527608
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.10.graphml.cnf,0.007298166268405799,0.0030240769022371167,0.00641197808,0.003491266521739133,0.002391784782608697,0.00448366008,0.02659236008
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.2.graphml.cnf,0.005575543131504427,0.002901484498531363,0.0051000542200000006,0.002418641946902655,0.001865191504424778,0.002408505219999999,0.02007328422
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.2.graphml.cnf,0.003817744607755102,0.002144585258042939,0.0032671032200000004,0.0017947228571428568,0.0011372953061224488,0.0016247832200000003,0.01578335422
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.3.graphml.cnf,0.004648080340764336,0.002341034116181147,0.004465647000000001,0.0020414531210191083,0.001476381910828025,0.003051741000000001,0.042741553
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.3.graphml.cnf,0.00452735038529412,0.0021202707283294584,0.0043076515000000015,0.001863293529411764,0.0015534682352941161,0.002988714000000001,0.041634421
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.4.graphml.cnf,0.030055495746172833,0.001315490543881248,0.02989053124,0.027465722962962954,0.0015012093827160495,0.026915595239999996,0.033894488240000006
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.4.graphml.cnf,0.006227561155254238,0.0052961418643708204,0.005375642239999998,0.002823844745762712,0.0016002955932203392,0.004065898239999998,0.04495522524000001
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT1/g.11.5.graphml.cnf,0.006628736169908258,0.004299587628855278,0.0056619552799999995,0.002532531926605504,0.0023416672171253827,0.003973609279999999,0.045793483280000005
./solvers/kissat-4.0.1-apple-amd64 ./cnf/random_dag_SAT2/g.11.5.graphml.cnf,0.00487284054394052,0.0008182788323697377,0.00473372428,0.002040019256505577,0.0017543102602230489,0.0022414392799999993,0.007673336279999999
