name,time_seconds,result
gl_grafo1930.13.gml.cnf,0,SAT
gl_grafo1931.20.gml.cnf,1.0,SAT
gl_grafo1932.13.gml.cnf,0,SAT
gl_grafo1934.14.gml.cnf,0,SAT
gl_grafo1935.13.gml.cnf,0,SAT
gl_grafo1936.18.gml.cnf,3.0,SAT
gl_grafo1938.12.gml.cnf,0,SAT
gl_grafo1940.18.gml.cnf,1.0,SAT
gl_grafo1942.18.gml.cnf,1.0,SAT
gl_grafo1943.12.gml.cnf,0,SAT
gl_grafo1944.19.gml.cnf,0,SAT
gl_grafo1945.16.gml.cnf,1.0,SAT
gl_grafo1947.14.gml.cnf,0,SAT
gl_grafo195.15.gml.cnf,0,SAT
gl_grafo1951.14.gml.cnf,1.0,SAT
gl_grafo1955.10.gml.cnf,0,SAT
gl_grafo1957.10.gml.cnf,0,SAT
gl_grafo1961.15.gml.cnf,1.0,SAT
gl_grafo1969.14.gml.cnf,0,SAT
gl_grafo197.15.gml.cnf,0,SAT
gl_grafo1970.15.gml.cnf,0,SAT
gl_grafo1971.15.gml.cnf,1.0,SAT
gl_grafo1972.10.gml.cnf,0,SAT
gl_grafo198.18.gml.cnf,0,SAT
gl_grafo1982.15.gml.cnf,1.0,SAT
gl_grafo199.13.gml.cnf,0,SAT
gl_grafo1994.14.gml.cnf,0,SAT
gl_grafo200.11.gml.cnf,0,SAT
gl_grafo2001.12.gml.cnf,0,SAT
gl_grafo201.13.gml.cnf,0,SAT
gl_grafo202.13.gml.cnf,1.0,SAT
gl_grafo2023.16.gml.cnf,0,SAT
gl_grafo203.13.gml.cnf,0,SAT
gl_grafo204.15.gml.cnf,0,SAT
gl_grafo2056.20.gml.cnf,8.0,SAT
gl_grafo206.12.gml.cnf,0,SAT
gl_grafo2068.12.gml.cnf,0,SAT
gl_grafo207.12.gml.cnf,0,SAT
gl_grafo2079.19.gml.cnf,1.0,SAT
gl_grafo209.10.gml.cnf,0,SAT
gl_grafo2090.17.gml.cnf,0,SAT
gl_grafo210.10.gml.cnf,0,SAT
gl_grafo2101.17.gml.cnf,0,SAT
gl_grafo2105.10.gml.cnf,0,SAT
gl_grafo2106.17.gml.cnf,1.0,SAT
gl_grafo2109.11.gml.cnf,0,SAT
gl_grafo211.14.gml.cnf,0,SAT
gl_grafo2110.11.gml.cnf,0,SAT
gl_grafo2111.10.gml.cnf,0,SAT
gl_grafo2113.19.gml.cnf,1.0,SAT
gl_grafo2115.12.gml.cnf,0,SAT
gl_grafo2117.18.gml.cnf,1.0,SAT
gl_grafo2118.15.gml.cnf,0,SAT
gl_grafo212.14.gml.cnf,0,SAT
gl_grafo2120.13.gml.cnf,0,SAT
gl_grafo2121.13.gml.cnf,0,SAT
gl_grafo2122.20.gml.cnf,1.0,SAT
gl_grafo2125.16.gml.cnf,0,SAT
gl_grafo2126.11.gml.cnf,0,SAT
gl_grafo2127.18.gml.cnf,2.0,SAT
gl_grafo2128.19.gml.cnf,0,SAT
gl_grafo2129.11.gml.cnf,0,SAT
gl_grafo213.18.gml.cnf,1.0,SAT
gl_grafo2131.19.gml.cnf,1.0,SAT
gl_grafo2135.19.gml.cnf,0,SAT
gl_grafo2136.11.gml.cnf,0,SAT
gl_grafo2138.17.gml.cnf,1.0,SAT
gl_grafo2139.11.gml.cnf,0,SAT
gl_grafo2142.16.gml.cnf,0,SAT
gl_grafo2143.19.gml.cnf,0,SAT
gl_grafo2144.12.gml.cnf,1.0,SAT
gl_grafo2146.17.gml.cnf,0,SAT
gl_grafo2147.17.gml.cnf,1.0,SAT
gl_grafo215.20.gml.cnf,0,SAT
gl_grafo2150.16.gml.cnf,0,SAT
gl_grafo2151.20.gml.cnf,1.0,SAT
gl_grafo2153.19.gml.cnf,0,SAT
gl_grafo2154.14.gml.cnf,1.0,SAT
gl_grafo2157.15.gml.cnf,0,SAT
gl_grafo2158.14.gml.cnf,0,SAT
gl_grafo2159.17.gml.cnf,1.0,SAT
gl_grafo216.18.gml.cnf,0,SAT
gl_grafo2160.15.gml.cnf,1.0,SAT
gl_grafo2164.16.gml.cnf,0,SAT
gl_grafo2166.20.gml.cnf,3.0,SAT
gl_grafo2168.16.gml.cnf,0,SAT
gl_grafo2169.15.gml.cnf,0,SAT
gl_grafo217.14.gml.cnf,1.0,SAT
gl_grafo2170.13.gml.cnf,0,SAT
gl_grafo2171.19.gml.cnf,0,SAT
gl_grafo2174.17.gml.cnf,1.0,SAT
gl_grafo2177.17.gml.cnf,0,SAT
gl_grafo2179.14.gml.cnf,1.0,SAT
gl_grafo218.17.gml.cnf,0,SAT
gl_grafo2183.16.gml.cnf,0,SAT
gl_grafo2184.18.gml.cnf,1.0,SAT
gl_grafo2186.18.gml.cnf,0,SAT
gl_grafo2187.19.gml.cnf,1.0,SAT
gl_grafo2189.14.gml.cnf,0,SAT
gl_grafo219.11.gml.cnf,0,SAT
gl_grafo2191.16.gml.cnf,0,SAT
gl_grafo2192.16.gml.cnf,1.0,SAT
gl_grafo2196.16.gml.cnf,0,SAT
gl_grafo2197.13.gml.cnf,0,SAT
gl_grafo2198.16.gml.cnf,0,SAT
gl_grafo220.13.gml.cnf,1.0,SAT
gl_grafo2202.20.gml.cnf,0,SAT
gl_grafo2204.13.gml.cnf,0,SAT
gl_grafo2206.19.gml.cnf,1.0,SAT
gl_grafo2209.20.gml.cnf,1.0,SAT
gl_grafo221.15.gml.cnf,0,SAT
gl_grafo2211.16.gml.cnf,1.0,SAT
gl_grafo2213.20.gml.cnf,2.0,SAT
gl_grafo2214.19.gml.cnf,1.0,SAT
gl_grafo2216.15.gml.cnf,1.0,SAT
gl_grafo2218.13.gml.cnf,0,SAT
gl_grafo2219.15.gml.cnf,1.0,SAT
gl_grafo222.11.gml.cnf,0,SAT
gl_grafo2220.17.gml.cnf,0,SAT
gl_grafo2221.13.gml.cnf,0,SAT
gl_grafo2222.17.gml.cnf,1.0,SAT
gl_grafo2225.15.gml.cnf,0,SAT
gl_grafo2227.17.gml.cnf,2.0,SAT
gl_grafo2228.14.gml.cnf,0,SAT
gl_grafo223.12.gml.cnf,0,SAT
gl_grafo2231.16.gml.cnf,1.0,SAT
gl_grafo2232.15.gml.cnf,0,SAT
gl_grafo2233.15.gml.cnf,0,SAT
gl_grafo2234.14.gml.cnf,0,SAT
gl_grafo2236.16.gml.cnf,1.0,SAT
gl_grafo2239.17.gml.cnf,0,SAT
gl_grafo224.17.gml.cnf,0,SAT
gl_grafo2240.12.gml.cnf,0,SAT
gl_grafo2241.16.gml.cnf,1.0,SAT
gl_grafo2244.18.gml.cnf,7.0,SAT
gl_grafo2245.17.gml.cnf,1.0,SAT
gl_grafo2246.20.gml.cnf,2.0,SAT
gl_grafo2247.18.gml.cnf,0,SAT
gl_grafo225.12.gml.cnf,1.0,SAT
gl_grafo2252.15.gml.cnf,0,SAT
gl_grafo2253.18.gml.cnf,0,SAT
gl_grafo2257.14.gml.cnf,0,SAT
gl_grafo2259.14.gml.cnf,0,SAT
gl_grafo226.14.gml.cnf,0,SAT
gl_grafo2260.14.gml.cnf,0,SAT
gl_grafo2261.12.gml.cnf,0,SAT
gl_grafo2264.15.gml.cnf,1.0,SAT
gl_grafo2265.12.gml.cnf,0,SAT
gl_grafo2266.15.gml.cnf,0,SAT
gl_grafo2268.20.gml.cnf,1.0,SAT
gl_grafo2272.20.gml.cnf,1.0,SAT
gl_grafo2276.16.gml.cnf,0,SAT
gl_grafo2277.18.gml.cnf,1.0,SAT
gl_grafo2279.16.gml.cnf,0,SAT
gl_grafo228.19.gml.cnf,1.0,SAT
gl_grafo2280.15.gml.cnf,0,SAT
gl_grafo2281.16.gml.cnf,0,SAT
gl_grafo2282.20.gml.cnf,3.0,SAT
gl_grafo2283.13.gml.cnf,1.0,SAT
gl_grafo2284.20.gml.cnf,1.0,SAT
gl_grafo2286.15.gml.cnf,0,SAT
gl_grafo2287.13.gml.cnf,0,SAT
gl_grafo2288.16.gml.cnf,1.0,SAT
gl_grafo2289.18.gml.cnf,0,SAT
gl_grafo229.13.gml.cnf,0,SAT
gl_grafo2290.19.gml.cnf,1.0,SAT
gl_grafo2291.14.gml.cnf,0,SAT
gl_grafo2292.14.gml.cnf,1.0,SAT
gl_grafo2293.13.gml.cnf,0,SAT
gl_grafo2294.16.gml.cnf,0,SAT
gl_grafo2296.15.gml.cnf,0,SAT
gl_grafo2297.17.gml.cnf,1.0,SAT
gl_grafo2298.13.gml.cnf,0,SAT
gl_grafo230.14.gml.cnf,0,SAT
gl_grafo2300.17.gml.cnf,1.0,SAT
gl_grafo2302.16.gml.cnf,0,SAT
gl_grafo2303.13.gml.cnf,0,SAT
gl_grafo2306.13.gml.cnf,0,SAT
gl_grafo2307.18.gml.cnf,0,SAT
gl_grafo2308.19.gml.cnf,1.0,SAT
gl_grafo231.12.gml.cnf,0,SAT
gl_grafo2311.15.gml.cnf,0,SAT
gl_grafo2312.11.gml.cnf,0,SAT
gl_grafo2313.13.gml.cnf,0,SAT
gl_grafo2317.20.gml.cnf,1.0,SAT
gl_grafo2318.15.gml.cnf,0,SAT
gl_grafo2319.14.gml.cnf,0,SAT
gl_grafo232.16.gml.cnf,0,SAT
gl_grafo2324.17.gml.cnf,0,SAT
