n,m,time(s)
5, 3, 0.000098028
5, 3, 0.000115411
5, 3, 0.000103547
5, 3, 0.000101960
5, 3, 0.000097348
5, 3, 0.000107311
5, 3, 0.000112792
5, 3, 0.000168265
5, 3, 0.000109130
5, 3, 0.000107899
5, 3, 0.000106314
5, 3, 0.000104235
5, 3, 0.000109702
5, 3, 0.000113092
5, 3, 0.000107615
5, 3, 0.000105895
5, 3, 0.000098969
5, 3, 0.000106188
5, 3, 0.000103291
5, 3, 0.000102878
5, 3, 0.000099471
5, 3, 0.000129170
5, 3, 0.000107028
5, 3, 0.000105867
5, 3, 0.000112148
5, 3, 0.000125034
5, 3, 0.000098897
5, 3, 0.000098091
5, 3, 0.000097074
5, 3, 0.000096160
5, 3, 0.000098642
5, 3, 0.000103618
5, 3, 0.000096804
5, 3, 0.000097855
5, 4, 0.000098071
5, 4, 0.000107880
5, 4, 0.000107635
5, 4, 0.000170221
5, 4, 0.000126478
5, 4, 0.000114665
5, 4, 0.000113364
5, 4, 0.000118897
5, 4, 0.000203500
5, 4, 0.000117493
5, 4, 0.000117183
5, 4, 0.000188585
5, 4, 0.000396778
5, 4, 0.000327460
5, 4, 0.000146088
5, 4, 0.000138644
5, 4, 0.000121593
5, 4, 0.000117388
5, 4, 0.000137938
5, 4, 0.000126647
5, 4, 0.000110075
5, 4, 0.000123693
